,title,link,create_time
10,M Partners 丨 Sapient enters global enterprise AI race,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487178&idx=1&sn=14a3a2d58763e67085072b1ac50f1047&chksm=c036c152f7414844ad5a6b55a385e15ac049781e1a2b47fb2020270b9dfcc2b9bdac006f1373#rd,2024-12-12 21:14:31
11,盛世华诞 丨 山河锦绣，岁月芳华。,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487158&idx=1&sn=612e5c3489796a11d71bde5bb4bfdde6&chksm=c036c12ef7414838c0c305289cc5f7e833016602028cf7d6ccfa3e06f53973b5ccd0d6f63337#rd,2024-09-30 16:31:47
12,M Deal丨Sapient Intelligence完成数千万美元种子轮融资，要创造有自主学习和思考能力的“智人”,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487153&idx=1&sn=64eec2b6bb3f872d9cfa8b617c3c509f&chksm=c036c129f741483fc77589311eff9a5b1cd781821466fa68dd1c9b6c0ce4e3250a1f62adfc9d#rd,2024-09-20 15:41:07
13,中秋团圆 丨 月圆向吉，金玉满堂。,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487142&idx=1&sn=1ab48ec3e0bf1e856ec4baf2522b84ba&chksm=c036c13ef7414828ee1b3651ef43889f56b081a4706d354768f1d8a9ceb1562aea3925c5baf1#rd,2024-09-17 08:39:24
14,能源科技#氢能：碱性电解水制氢ALK,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487133&idx=1&sn=3811691222c52ad196e2b1fad7bd1fbe&chksm=c036c105f7414813cf67b55bc056e197254f1260eef1747348bfdb74254d449cf2470dee92f1#rd,2024-09-03 09:18:21
15,能源科技#氢能：市场机会及电解水制氢简介,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487130&idx=1&sn=7ef237062ec2589783812b29d062cf5b&chksm=c036c102f74148147f32209ae84b2640d17f2c99afc858db4ed335010b0b8e227166b51e4e83#rd,2024-08-29 21:09:54
16,M Honor｜Minerva Capital 荣获企名片2024「消费领域财务顾问TOP 3」等多项荣誉,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487077&idx=1&sn=daa3c7df77ae8a66699da519c5649997&chksm=c036c1fdf74148ebb07f91eedf608ae7efb11d06d2663e9e769af4f556f6f0674a23495db94c#rd,2024-08-14 16:20:40
17,M Partners丨「冰鲸科技」获Pre-A+轮数千万元融资，全球首款消费级家庭私有云产品已开卖,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487021&idx=1&sn=40d77047f055b0efb571df8cd0ec859d&chksm=c036c1b5f74148a399457fbb001f5b5659d9f4b698d3fe46c591834efd55ee5c01335c452218#rd,2024-06-13 18:58:26
18,端午正阳 丨 百舸争流，奋楫者先,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487013&idx=1&sn=cf4b77b9c37635dfc35b021d7db96d69&chksm=c036c1bdf74148ab2f8130900404f2789eb6ab6e47bb86b2eccd7be42b7a1032dd155f9722c7#rd,2024-06-08 10:56:32
19,M Deal丨极壳科技完成由绿洲资本领投的PreA轮融资，全球首个消费级户外外骨骼已量产,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247487011&idx=1&sn=d2552dfbb0ce0215ff10cf881da39df2&chksm=c036c1bbf74148ad659b65be0dfa9531ab5306d330419d056d0ac07ec74320c230c8676859f6#rd,2024-05-15 19:15:32
20,岂曰无衣？与子同袍 丨 MINERVA 长期招聘,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247486787&idx=1&sn=9c2577e8f5177fd49002ef1b7e953fe2&chksm=c036c2dbf7414bcd70c191ab2e3f8669de6c88922c035b901afa8a1d1a2eeba93930e17663ba#rd,2024-03-28 21:17:37
21,无负今朝少年时 丨 MINERVA 2024春季招聘,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247486775&idx=1&sn=31c64756fbf96aa03a3f2d9d6237f495&chksm=c036c2aff7414bb9751f1724b1791cf349f0213616d90f176926c8361a4cbb0e298de385d4e3#rd,2024-03-27 20:19:12
22,二月二 丨 龙抬头，搬新楼,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247486667&idx=1&sn=575d9b49e548141e06c97ada793e084e&chksm=c036c353f7414a45adc76ca8601c62cb45f20edba31fc5c126dc86c03b3581558a873f02a0b3#rd,2024-03-10 23:46:22
23,正月初五 丨 财神到，喜气绕,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247486615&idx=1&sn=a55d73bac8c7a0634d6b2c050e230ad4&chksm=c036c30ff7414a19d3bd1a12d47e6146ba90e88929fb8024c793206680d44d4536aa84d74d92#rd,2024-02-13 12:51:06
24,新年安康 丨 旦逢良辰，顺颂时宜。,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247486614&idx=1&sn=a41954bf6c559ffa227bc0e010e477c3&chksm=c036c30ef7414a18ff6b4ffcc855bfa40556e42336aaa308ca9dc17f1a60770b3cdd6ae6e719#rd,2024-02-09 18:05:51
25,AI周边：AI定义数据存储与协同管理新范式,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247486578&idx=1&sn=3d64f7930c3bfa9ebc465506c643dcd3&chksm=c036c3eaf7414afc797f248708ba0ebe5d49bfe5f85c5867871922e2d3c22edcf8ff41487316#rd,2024-01-11 20:02:21
26,元旦快乐 丨 岁且更始，时乃日新。,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247486474&idx=1&sn=e46fe67dfc2f28a4274b13bdffe73e74&chksm=c036c392f7414a84bd0f817c371458e1620a3b6732d280623e340c244089ee3e497fdd65def2#rd,2023-12-30 20:03:48
27,AI周边：AI赋能游戏行业全面发展,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247486400&idx=1&sn=7d48f2dd1c0555eabd0bc7f425aa94b0&chksm=c036c458f7414d4ef8044501ed0a04694879aa42a2a2cc277aab61ecdf529459a809a62a02b8#rd,2023-12-14 16:39:49
28,具身智能：多模态大模型发展概况,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247486254&idx=1&sn=352cda5f0f80933e6faf8504bfcd3938&chksm=c036c4b6f7414da0b1ab7f56acd392fb4b9bcb682725aaed06dabf4cfa6fe9bfa6521b0682fc#rd,2023-12-08 17:36:04
29,车载OS：虚拟化微内核的商业模式及市场情况,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247485820&idx=1&sn=b330fe2ef660341fea3e5ac878b32a8b&chksm=c036c6e4f7414ff23c6e3cfade87fb5d58b8feed184bfa51c96c6b2ac6ea4500d992e636790e#rd,2023-11-30 12:31:40
30,车载OS：虚拟化技术与微内核的技术路线选择,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247485801&idx=1&sn=e5fea8a8c646de73496701f389ac6d92&chksm=c036c6f1f7414fe7954ab26a1f75d5f05f0f20170f38d5ad781f514b880b0f4af1aedde47273#rd,2023-11-29 17:12:33
31,光伏设备：钙钛矿薄膜涂布设备的选择与技术壁垒,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247485751&idx=1&sn=10dc5f9a9864bdb2903c7653993da5c2&chksm=c036c6aff7414fb936e2dab1f41c2f9c8d33718b26fb42c3fd9393fee2a3df95cf2aa679b7d7#rd,2023-11-22 12:45:56
32,深海科技：水下机器人（ROV）的核心技术壁垒及发展趋势,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247485737&idx=1&sn=61a053ee23cb456c220176f8c41f7480&chksm=c036c6b1f7414fa7c5e38643e7a8a01497a31f5165bb1982f5072e09646b03227be60567f7c4#rd,2023-11-16 13:16:07
33,深海科技：水下机器人（ROV）系统构成,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247485736&idx=1&sn=8d9d2df7c694834b20cbe299e416452b&chksm=c036c6b0f7414fa68e575fa4cf62ff5c32c948833a295a88411db77af115ded4fa67ade60fff#rd,2023-11-14 19:28:22
34,深海科技：海底大型作业装备市场展望,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247485685&idx=1&sn=fd6d811b1ac641171c35e0583c8cf63c&chksm=c036c76df7414e7b20a4c4b1d8de48ff1eb08373eec6f2bb3bdd2af9bd00a1e1df80072732aa#rd,2023-11-13 09:10:46
35,豫园股份收购宠物食品品牌「有鱼」，Minerva Capital担任独家财务顾问,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247483781&idx=1&sn=64e9072b5e819798350b632071110b63&chksm=c036ce1df741470ba8cf5a8cb56a27c8a2f0b775fb0f597b6856b39f3232b31d1b214532cda1#rd,2023-07-09 10:59:01
36,「极壳」再获数百万美元Pre-A轮融资，瞄准户外场景外骨骼装备｜融资Update,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247483762&idx=1&sn=44f9b04f0a6d3303039b5185e1e6280d&chksm=c036ceeaf74147fca447c2afe79f21f112f8c446f1f926de663508ce8330f6e76b6aa6e17a2b#rd,2023-05-08 12:22:06
37,奇绩创坛投了家外骨骼公司，「极壳」打造户外人能穿的外骨骼产品,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247483752&idx=1&sn=7467c63b3b7a34fa52ecbeb564c7beb9&chksm=c036cef0f74147e65cce46ceac8db363fcb2541986ff8adc951366dfb76859dff566b14ed0fd#rd,2023-03-28 10:13:07
38,数字服务商「冰鲸科技」完成数千万人民币融资，Minerva Capital持续担任独家财务顾问,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247483722&idx=1&sn=2138dc565d153dc6d498434a7c693044&chksm=c036ced2f74147c49ad8857ceea134c4731e4f98ca496f3b6689d7f609afc05a6ed4d681af96#rd,2023-02-22 13:21:44
39,高端电摩品牌「浩万Horwin」获亿元级天使轮投资，Minerva Capital持续担任独家财务顾问,http://mp.weixin.qq.com/s?__biz=Mzg5Mjg2OTM2Nw==&mid=2247483711&idx=1&sn=f561e241ebad87a3196cbf1eba969caa&chksm=c036cea7f74147b1199147d14c9921653123b04bbbb4eb307c671bd3015f9fac82b206cc7d81#rd,2022-11-08 13:15:17
